algo,data,filename,jsd,loss_type,mae,mape,mean_std,rmse,smape,std_ae,std_ape,sub_data,tuning_algo
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.008_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.143_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.18,loss_gan_re_d,0.303,0.35,0.19221017299049484,0.473,0.304,0.562,0.697,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.38_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.181,loss_gan_re_d,0.304,0.353,0.19740229477007654,0.475,0.306,0.567,0.703,5,pso
GruGan,gg_trace,"la-[8, 1]_ac-tanh_dr-0.448_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.049_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.172,loss_gan_re_d,0.308,0.36,0.20882760403567852,0.477,0.308,0.577,0.722,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.49_ou-sigmoid_ce-gru_in-[8, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.187,loss_gan_re_d,0.296,0.337,0.16302728711285083,0.47,0.3,0.544,0.658,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.011_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.166,loss_gan_re_d,0.297,0.33,0.19356179724820075,0.473,0.301,0.534,0.625,5,pso
GruGan,gg_trace,"la-[8, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.075_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.153,loss_gan_re_d,0.309,0.354,0.22374705948071424,0.481,0.309,0.574,0.7,5,pso
GruGan,gg_trace,"la-[8, 1]_ac-tanh_dr-0.15_ou-tanh_ce-gru_co-after_la-[32, 1]_ac-tanh_dr-0.049_ou-sigmoid_ce-gru_in-[4, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-4_is-False_lo-loss_gan_re_d_.csv",0.149,loss_gan_re_d,0.31,0.352,0.2981516660785802,0.483,0.31,0.573,0.694,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.012_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.389_ou-sigmoid_ce-gru_in-[8, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.195,loss_gan_re_d,0.299,0.347,0.23680869311534578,0.47,0.302,0.556,0.69,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.492_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.207,loss_gan_re_d,0.307,0.365,0.24463769767039942,0.473,0.307,0.58,0.743,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.409_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.222_ou-sigmoid_ce-gru_in-[8, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.164,loss_gan_re_d,0.297,0.331,0.20754605343678978,0.473,0.302,0.536,0.63,5,pso
GruGan,gg_trace,"la-[16, 1]_ac-tanh_dr-0.118_ou-tanh_ce-gru_co-after_la-[8, 1]_ac-tanh_dr-0.256_ou-sigmoid_ce-gru_in-[1, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_re_d_.csv",0.181,loss_gan_re_d,0.341,0.407,0.2626200539367287,0.519,0.329,0.669,0.851,5,pso
GruGan,gg_trace,"la-[16, 1]_ac-tanh_dr-0.113_ou-tanh_ce-gru_co-after_la-[8, 1]_ac-tanh_dr-0.109_ou-sigmoid_ce-gru_in-[5, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.133,loss_gan_re_d,0.306,0.335,0.24195704202789337,0.482,0.311,0.544,0.625,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.246_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.194,loss_gan_re_d,0.307,0.363,0.28649611598787567,0.474,0.307,0.581,0.737,5,pso
GruGan,gg_trace,"la-[4, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.5_ou-sigmoid_ce-gru_in-[8, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.183,loss_gan_re_d,0.297,0.338,0.13641794171658378,0.471,0.3,0.545,0.66,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.299_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.193,loss_gan_re_d,0.301,0.348,0.21519262717851542,0.472,0.302,0.559,0.692,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.0_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_re_d_.csv",0.17,loss_gan_re_d,0.305,0.353,0.2567996336790055,0.476,0.306,0.568,0.704,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.231_ou-sigmoid_ce-gru_in-[8, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.181,loss_gan_re_d,0.3,0.35,0.23717383959245109,0.47,0.303,0.559,0.699,5,pso
GruGan,gg_trace,"la-[8, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.498_ou-sigmoid_ce-gru_in-[5, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.13,loss_gan_re_d,0.308,0.344,0.2526798238533284,0.482,0.311,0.558,0.659,5,pso
GruGan,gg_trace,"la-[32, 1]_ac-tanh_dr-0.396_ou-tanh_ce-gru_co-after_la-[8, 1]_ac-tanh_dr-0.138_ou-sigmoid_ce-gru_in-[3, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.121,loss_gan_re_d,0.316,0.351,0.2005573544108213,0.497,0.318,0.579,0.678,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.388_ou-sigmoid_ce-gru_in-[8, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.204,loss_gan_re_d,0.303,0.357,0.16736770084721528,0.471,0.305,0.568,0.719,5,pso
